"country","region","population","area","netmigration","gdp","literacy","phones","arable","agriculture"
"Brunei","Asia",379444,5770,3.59,18600,93.9,237.2,0.57,0.036
"Bulgaria","Eastern Europe",7385367,110910,-4.58,7600,98.6,336.3,40.02,0.093
"Burkina Faso","Africa",13902972,274200,0,1100,26.6,7,14.43,0.322
"Burma","Asia",47382633,678500,-1.8,1800,85.3,10.1,15.19,0.564
"Burundi","Africa",8090068,27830,-0.06,600,51.6,3.4,35.05,0.463
"Cambodia","Asia",13881427,181040,0,1900,69.4,2.6,20.96,0.35
"Cameroon","Africa",17340702,475440,0,1800,79,5.7,12.81,0.448
"Canada","North America",33098932,9984670,5.96,29800,97,552.2,4.96,0.022
"Cape Verde","Africa",420979,4033,-12.07,1400,76.6,169.6,9.68,0.121
"Cayman Islands","South America",45436,262,18.75,35000,98,836.3,3.85,0.014
"Central African Rep.","Africa",4303356,622984,0,1100,51,2.3,3.1,0.55
"Chad","Africa",9944201,1284000,-0.11,1200,47.5,1.3,2.86,0.335
"Chile","South America",16134219,756950,0,9900,96.2,213,2.65,0.06
"China","Asia",1313973713,9596960,-0.4,5000,90.9,266.7,15.4,0.125
"Colombia","South America",43593035,1138910,-0.31,6300,92.5,176.2,2.42,0.125
"Comoros","Africa",690948,2170,0,700,56.5,24.5,35.87,0.4
"Congo, Dem. Rep.","Africa",62660551,2345410,0,700,65.5,0.2,2.96,0.55
"Congo, Repub. of the","Africa",3702314,342000,-0.17,700,83.8,3.7,0.51,0.062
"Cook Islands","Oceania",21388,240,NA,5000,95,289.9,17.39,0.151
"Costa Rica","South America",4075261,51100,0.51,9100,96,340.7,4.41,0.088
"Cote d'Ivoire","Africa",17654843,322460,-0.07,1400,50.9,14.6,9.75,0.279
"Croatia","Eastern Europe",4494749,56542,1.58,10600,98.5,420.4,26.09,0.07
"Cuba","South America",11382820,110860,-1.58,2900,97,74.7,33.05,0.055
"Cyprus","Asia",784301,9250,0.43,19200,97.6,NA,7.79,0.037
"Czech Republic","Eastern Europe",10235455,78866,0.97,15700,99.9,314.3,39.8,0.034
"Denmark","Western Europe",5450661,43094,2.48,31100,100,614.6,54.02,0.018
"Djibouti","Africa",486530,23000,0,1300,67.9,22.8,0.04,0.179
"Dominica","South America",68910,754,-13.87,5400,94,304.8,6.67,0.177
"Dominican Republic","South America",9183984,48730,-3.22,6000,84.7,97.4,22.65,0.112
"East Timor","Asia",1062777,15007,0,500,58.6,NA,4.71,0.085
"Ecuador","South America",13547510,283560,-8.58,3300,92.5,125.6,5.85,0.07
"Egypt","Africa",78887007,1001450,-0.22,4000,57.7,131.8,2.87,0.149
"El Salvador","South America",6822378,21040,-3.74,4800,80.2,142.4,31.85,0.099
"Equatorial Guinea","Africa",540109,28051,0,2700,85.7,18.5,4.63,0.03
"Eritrea","Africa",4786994,121320,0,700,58.6,7.9,4.95,0.102
"Estonia","Eastern Europe",1324333,45226,-3.16,12300,99.8,333.8,16.04,0.04
"Ethiopia","Africa",74777981,1127127,0,700,42.7,8.2,10.71,0.475
"Faroe Islands","Western Europe",47246,1399,1.41,22000,NA,503.8,2.14,0.27
"Fiji","Oceania",905949,18270,-3.14,5800,93.7,112.6,10.95,0.089
"Finland","Western Europe",5231372,338145,0.95,27400,100,405.3,7.19,0.028
"France","Western Europe",60876136,547030,0.66,27600,99,586.4,33.53,0.022
"French Guiana","South America",199509,91000,6.27,8300,83,255.6,0.14,0.066
"French Polynesia","Oceania",274578,4167,2.94,17500,98,194.5,0.82,0.031
"Gabon","Africa",1424906,267667,0,5500,63.2,27.4,1.26,0.061
"Gambia, The","Africa",1641564,11300,1.57,1700,40.1,26.8,25,0.308
"Gaza Strip","Asia",1428757,360,1.6,600,NA,244.3,28.95,0.03
